Name,Link
Не указано,https://tury.ru/hotel/?cn=0&ct=464&ht=0&ad=2&ch=0&dt_f=2025-02-08&dt_t=2025-04-10&s=0#
AZIMUT Hotel Saint-Petersburg 3*,https://tury.ru/hotel/id/13168-russia-st-petersburg-azimut-hotel-saint-petersburg-3
Rossiya hotel St.Peterburg 3*,https://tury.ru/hotel/id/14491-russia-st-petersburg-rossiya-rossiya-3
Admiraltejskie verfi hotel,https://tury.ru/hotel/id/14492-russia-st-petersburg-admiraltejskie-verfi-hotel
Polustrovo hotel 3*,https://tury.ru/hotel/id/14693-russia-st-petersburg-polyustrovo-polustrovo-3
Galakt Hotel 2*,https://tury.ru/hotel/id/14694-russia-st-petersburg-galakt-hotel-2
Kareliya hotel St. Petersburg 3*,https://tury.ru/hotel/id/17210-russia-st-petersburg-kareliya-hotel-st-petersburg-3
U Chyornoy Rechki dormitory,https://tury.ru/hotel/id/17277-russia-st-petersburg-u-chyornoy-rechki-dormitory
Best Western Plus Centre Hotel 4*,https://tury.ru/hotel/id/17278-russia-st-petersburg-oktyabrskaya-korpus-ligovskiy-oktiabrskaya-3
Saint Petersbourg Hotel 3*,https://tury.ru/hotel/id/29872-russia-st-petersburg-sankt-peterburg-eh-leningrad-saint-petersburg-3
Tsarskoselskii sanatorium,https://tury.ru/hotel/id/30969-russia-pushkin-gorod-tsarskoselskii-sanatorium
Dyuny sanatorium,https://tury.ru/hotel/id/37663-russia-st-petersburg-dyuny-sanatorium
Popov Mini Hotel,https://tury.ru/hotel/id/37667-russia-st-petersburg-popov
Akademiya MAPO hotel,https://tury.ru/hotel/id/39518-russia-st-petersburg-akademiya-mapo-hotel
Ladoga hotel 3*,https://tury.ru/hotel/id/39847-russia-st-petersburg-ladoga-ladoga-3
Kortiniya St. Petersburg hotel 5*,https://tury.ru/hotel/id/39860-russia-st-petersburg-kortiniya-st-petersburg-hotel-5
Marco Polo St. Petersburg 4*,https://tury.ru/hotel/id/39866-russia-st-petersburg-marko-polo-sankt-peterburg-marco-polo-st-petersburg-4
Orbita hotel,https://tury.ru/hotel/id/47763-russia-st-petersburg-orbita-orbita
Nevsky Mayak - Nevsky 94/2 3*,https://tury.ru/hotel/id/56935-russia-st-petersburg-nevskiy-mayak-nevsky-mayak
Sestroreckii kurort sanatorium,https://tury.ru/hotel/id/59107-russia-sestroreck-gorod-sestroreckiy-kurort
Admiralteyskaya Hotel 3*,https://tury.ru/hotel/id/62221-russia-st-petersburg-admiralteyskaya-hotel-st-petersburg-3
Russ hotel 4*,https://tury.ru/hotel/id/62755-russia-st-petersburg-rus-hotel-3
Moscow hotel St. Petersburg 4*,https://tury.ru/hotel/id/62758-russia-st-petersburg-moskva-moskva-4
Vyborgskaya Hotel 3*,https://tury.ru/hotel/id/62759-russia-st-petersburg-vyborgskaya-hotel-3
Okhtinskaya Hotel 3*,https://tury.ru/hotel/id/62760-russia-st-petersburg-ohtinskaya-okhtinskaya-3
K-Vizit hotel Saint-Petersburg 4*,https://tury.ru/hotel/id/64465-russia-st-petersburg-k-vizit-hotel-saint-petersburg-4
Kupchinskaya Hotel,https://tury.ru/hotel/id/64568-russia-st-petersburg-kupchinskaya-kupchinskaya
Asteria 3*,https://tury.ru/hotel/id/64569-russia-st-petersburg-asteria-hotel
Severnaya Hotel 2*,https://tury.ru/hotel/id/64571-russia-st-petersburg-severnaya-severnaya
Baltiyskaya hotel,https://tury.ru/hotel/id/64572-russia-st-petersburg-baltiyskaya-hotel
Dom Studenta na Korablestroitelei dormitory,https://tury.ru/hotel/id/64573-russia-st-petersburg-dom-studenta-na-korablestroiteley-dom-studenta
U Pushkinskoj dormitory,https://tury.ru/hotel/id/64574-russia-st-petersburg-u-pushkinskoj-dormitory
Annushka hotel St.Petersburg 3*,https://tury.ru/hotel/id/65336-russia-st-petersburg-annushka-hotel-st-petersburg-3
Komfort hotel St. Petersburg 3*,https://tury.ru/hotel/id/66349-russia-st-petersburg-komfort-hotel-st-petersburg
Ermitage hotel 4*,https://tury.ru/hotel/id/66386-russia-st-petersburg-ermitage-hotel-4
Herzen House Hotel 3*,https://tury.ru/hotel/id/66392-russia-st-petersburg-herzen-house-hotel
Nevsky Forum Hotel 4*,https://tury.ru/hotel/id/66393-russia-st-petersburg-nevskiy-forum-nevsky-forum-4
Andersen Hotel 3*,https://tury.ru/hotel/id/66448-russia-st-petersburg-andersen-hotel-3
Krestovskij ostrov hotel,https://tury.ru/hotel/id/66449-russia-st-petersburg-krestovskij-ostrov-hotel
Park Inn by Radisson Pribaltiyskaya 4*,https://tury.ru/hotel/id/66480-russia-st-petersburg-park-inn-pribaltiyskaya-hotel-4
Rinaldi Olympia hotel 4*,https://tury.ru/hotel/id/66481-russia-st-petersburg-rinaldi-olympia-hotel
Sputnik hotel St. Petersburg 3*,https://tury.ru/hotel/id/66482-russia-st-petersburg-sputnik-hotel-st-petersburg-3
LDM Hotel 3*,https://tury.ru/hotel/id/66485-russia-st-petersburg-ldm-hotel-3
AlexanderPlatz Hotel 3*,https://tury.ru/hotel/id/66495-russia-st-petersburg-alexanderplats-hotel
Park Inn by Radisson Pulkovskaya 4*,https://tury.ru/hotel/id/66496-russia-st-petersburg-park-inn-pulkovskaya-hotel-4
Nouvelle Europe hotel 4*,https://tury.ru/hotel/id/67314-russia-st-petersburg-nouvelle-europe-hotel-4
Arbat Nord Hotel 3*,https://tury.ru/hotel/id/67330-russia-st-petersburg-arbat-nord-hotel-3
The Brothers Karamazov hotel 4*,https://tury.ru/hotel/id/67331-russia-st-petersburg-the-brothers-karamazov-hotel-4
Pyatyj Ugol hotel 3*,https://tury.ru/hotel/id/67332-russia-st-petersburg-pyatyy-ugol-pyatyj-ugol-3
Ibis St. Petersburg Centre hotel 3*,https://tury.ru/hotel/id/67333-russia-st-petersburg-ibis-st-petersburg-centre-hotel-3
Nevsky Central Hotel 3*,https://tury.ru/hotel/id/67334-russia-st-petersburg-nevsky-central-hotel-3
Nevsky Express Hotel 3*,https://tury.ru/hotel/id/67335-russia-st-petersburg-nevsky-express-hotel-3
Nevsky Hotel Aster 3*,https://tury.ru/hotel/id/67336-russia-st-petersburg-nevsky-hotel-aster-3
Nevsky Hotel Deluxe 3*,https://tury.ru/hotel/id/67337-russia-st-petersburg-nevsky-hotel-deluxe-3
Nevsky Grand Hotel 3*,https://tury.ru/hotel/id/67338-russia-st-petersburg-nevsky-hotel-grand-3
Nevsky Hotel Moyka 3*,https://tury.ru/hotel/id/67339-russia-st-petersburg-nevsky-hotel-moyka-3
Ambassador hotel 4*,https://tury.ru/hotel/id/67341-russia-st-petersburg-ambassador-hotel-4
Helvetia Hotel 4*,https://tury.ru/hotel/id/67342-russia-st-petersburg-helvetia-hotel-4
Novotel Saint Petersburg Centre 4*,https://tury.ru/hotel/id/67344-russia-st-petersburg-novotel-saint-petersburg-hotel-4
Petro Palace Hotel 4*,https://tury.ru/hotel/id/67345-russia-st-petersburg-petro-palace-hotel-4
Belmond Grand Hotel Europe 5*,https://tury.ru/hotel/id/67348-russia-st-petersburg-grand-hotel-europe-5
Sokos Hotel Palace Bridge 5*,https://tury.ru/hotel/id/67349-russia-st-petersburg-palace-bridge-spa-hotel-5
Radisson Royal Hotel St. Petersburg 5*,https://tury.ru/hotel/id/67350-russia-st-petersburg-radisson-royal-hotel-st-petersburg-5
Rinaldi na Bolshom mini hotel 3*,https://tury.ru/hotel/id/67351-russia-st-petersburg-rinaldi-na-bolshom-mini-hotel
Rinaldi History na Nevskom 105 mini hotel 3*,https://tury.ru/hotel/id/67352-russia-st-petersburg-rinaldi-na-nevskom-105-mini-hotel
Rinaldi Harmony mini hotel 3*,https://tury.ru/hotel/id/67353-russia-st-petersburg-rinaldi-harmony-mini-hotel
Dostoevsky Hotel 3*,https://tury.ru/hotel/id/67354-russia-st-petersburg-dostoevsky-hotel-3
Nash hotel 4*,https://tury.ru/hotel/id/67355-russia-st-petersburg-nash-hotel-4
Angleterre Hotel 5*,https://tury.ru/hotel/id/67356-russia-st-petersburg-angleterre-hotel-5
Astoria hotel 5*,https://tury.ru/hotel/id/67357-russia-st-petersburg-astoria-hotel-5
Author Boutique Hotel 5*,https://tury.ru/hotel/id/67358-russia-st-petersburg-golden-garden-boutique-hotel-5
U Pionerskoj hotel,https://tury.ru/hotel/id/67362-russia-st-petersburg-u-pionerskoj-hotel
Stony Island on Lomonosova hotel 3*,https://tury.ru/hotel/id/69354-russia-st-petersburg-stony-island-on-lomonosova-hotel
Stony Island on Kamennoostrovsky hotel,https://tury.ru/hotel/id/69362-russia-st-petersburg-stony-island-on-kamennoostrovsky-hotel
Arkadia hotel St. Petersburg 4*,https://tury.ru/hotel/id/71086-russia-st-petersburg-arkadia-hotel-st-petersburg-4
Atlantika hotel 3*,https://tury.ru/hotel/id/72772-russia-st-petersburg-atlantika-hotel-3
Park Lane Inn mini hotel 3*,https://tury.ru/hotel/id/72917-russia-st-petersburg-park-lane-inn-mini-hotel
Akvareli hotel Saint-Petersburg 3*,https://tury.ru/hotel/id/73001-russia-st-petersburg-akvareli-hotel-saint-petersburg-3
Atrium hotel St. Petersburg 3*,https://tury.ru/hotel/id/73002-russia-st-petersburg-atrium-hotel-st-petersburg-3
Grand Hotel Emerald 5*,https://tury.ru/hotel/id/73013-russia-st-petersburg-grand-hotel-emerald-5
Fortecia Piter mini hotel 3*,https://tury.ru/hotel/id/73247-russia-st-petersburg-fortecia-piter-mini-hotel
Kievskaya Hotel on Dnepropetrovskaya 2*,https://tury.ru/hotel/id/73523-russia-st-petersburg-kievskaya-hotel-2
Garrah mini hotel 4*,https://tury.ru/hotel/id/73524-russia-st-petersburg-garrah-mini-hotel
Staryj Nevsij hotel 3*,https://tury.ru/hotel/id/73525-russia-st-petersburg-staryy-nevskiy-staryj-nevsij-3
Zvezdnyi hotel St. Petersburg 2*,https://tury.ru/hotel/id/73526-russia-st-petersburg-zvezdnyi-hotel-st-petersburg-2
Sonata at Mayakovskogo hotel 3*,https://tury.ru/hotel/id/73527-russia-st-petersburg-sonata-at-mayakovskogo-hotel-3
Abazhur na Fontanke mini hotel St.Petersburg 2*,https://tury.ru/hotel/id/73528-russia-st-petersburg-abazhur-na-fontanke-mini-hotel-st-petersburg
Comfitel Demidov Most hotel 3*,https://tury.ru/hotel/id/73529-russia-st-petersburg-comfitel-demidov-most-hotel-3
Comfitel City Hotel Ligovskiy Prospekt 3*,https://tury.ru/hotel/id/73530-russia-st-petersburg-comfitel-city-hotel-ligovskiy-prospekt-3
Sonata at Gorokhovaya mini hotel 3*,https://tury.ru/hotel/id/73531-russia-st-petersburg-sonata-at-gorokhovaya-mini-hotel-3
Comfitel Alexandria Hotel 3*,https://tury.ru/hotel/id/73533-russia-st-petersburg-comfitel-alexandriya-hotel-3
Cameo Hotel 3*,https://tury.ru/hotel/id/73534-russia-st-petersburg-cameo-hotel-3
Sonata at Bolshoy Ave. mini hotel 3*,https://tury.ru/hotel/id/73547-russia-st-petersburg-sonata-at-bolshoy-ave-mini-hotel-3
Galereya hotel Saint-Petersburg 3*,https://tury.ru/hotel/id/73548-russia-st-petersburg-galereya-hotel-saint-petersburg-3
Aquamarine Spa Hotel 4*,https://tury.ru/hotel/id/73709-russia-zelenogorsk-gorod-akvamarin-hotel-zelenogorsk-4
Idilliya mini hotel St. Petersburg,https://tury.ru/hotel/id/73830-russia-st-petersburg-idilliya-mini-hotel-st-petersburg
Nevskii 150 apart hotel,https://tury.ru/hotel/id/73832-russia-st-petersburg-holstomer-hotel
Staraya Vena hotel,https://tury.ru/hotel/id/73834-russia-st-petersburg-staraya-vena-staraya-vena
Natali hotel,https://tury.ru/hotel/id/74946-russia-st-petersburg-natali-natali
Amadeo hotel Saint-Petersburg 3*,https://tury.ru/hotel/id/75010-russia-st-petersburg-amadeo-hotel-saint-petersburg-3
Lira hotel 3*,https://tury.ru/hotel/id/75347-russia-st-petersburg-lira-hotel-3
Lahta hotel,https://tury.ru/hotel/id/75348-russia-st-petersburg-lahta-lahta
Rechnaya hotel,https://tury.ru/hotel/id/75349-russia-st-petersburg-rechnaya-rechnaya
Obuhoff Hotel 3*,https://tury.ru/hotel/id/75367-russia-st-petersburg-obuhoff-obuhoff-3
Belveder-Nevskiy hotel 4*,https://tury.ru/hotel/id/75387-russia-st-petersburg-belveder-nevskiy-hotel-4
Repinskaya Hotel 3*,https://tury.ru/hotel/id/75650-russia-repino-spb-repinskaya
Accent Hotel 3*,https://tury.ru/hotel/id/75882-russia-st-petersburg-accent-hotel-3
Nauka Hotel Complex,https://tury.ru/hotel/id/75901-russia-st-petersburg-nauka-nauka
Lancaster Court Hotel 3*,https://tury.ru/hotel/id/75968-russia-st-petersburg-lancaster-court-hotel-3
Valeria Mini Hotel 4*,https://tury.ru/hotel/id/77053-russia-st-petersburg-valeria-mini-hotel
Luxa Sfinks mini hotel,https://tury.ru/hotel/id/77217-russia-st-petersburg-luxa-sfinks-mini-hotel
Elegiya mini hotel Saint-Petersburg 3*,https://tury.ru/hotel/id/77219-russia-st-petersburg-elegiya-mini-hotel-saint-petersburg
Luxa Style mini hotel,https://tury.ru/hotel/id/77220-russia-st-petersburg-luxa-style-mini-hotel
Luxa Elegant mini hotel,https://tury.ru/hotel/id/77221-russia-st-petersburg-luxa-elegant-mini-hotel
Ligotel mini hotel,https://tury.ru/hotel/id/77222-russia-st-petersburg-ligotel-mini-hotel
Luxa Usadba mini hotel,https://tury.ru/hotel/id/77225-russia-st-petersburg-luxa-usadba-mini-hotel
Luxa Na Konyushennoj mini hotel,https://tury.ru/hotel/id/77226-russia-st-petersburg-luxa-na-konyushennoj-mini-hotel
Luxa Atlas mini hotel,https://tury.ru/hotel/id/77228-russia-st-petersburg-luxa-atlas-mini-hotel
Palantin Hotel 3*,https://tury.ru/hotel/id/78206-russia-st-petersburg-palantin-palantin-3
Greenwich mini hotel 3*,https://tury.ru/hotel/id/78483-russia-st-petersburg-greenwich-mini-hotel
9 sov hotel 3*,https://tury.ru/hotel/id/78548-russia-st-petersburg-9-sov-hotel-3
Azhur mini hotel St. Petersburg,https://tury.ru/hotel/id/78895-russia-st-petersburg-azhur-mini-hotel-st-petersburg
Griboedova 71 hostel,https://tury.ru/hotel/id/78914-russia-st-petersburg-griboedova71-hostel
Olgino hotel 3*,https://tury.ru/hotel/id/79017-russia-st-petersburg-olgino-olgino-3
Sokos Vasilievsky hotel 4*,https://tury.ru/hotel/id/79035-russia-st-petersburg-sokos-vasilevskiy-sokos-vasilievsky-4
Sokos Hotel Olympic Garden 4*,https://tury.ru/hotel/id/79036-russia-st-petersburg-sokos-olimpik-garden-sokos-hotel-olympic-garden-4
Yuzhnaya hotel Saint-Petersburg,https://tury.ru/hotel/id/79044-russia-st-petersburg-yuzhnaya-hotel-saint-petersburg
Akademiya gos. sluzhby hotel,https://tury.ru/hotel/id/79846-russia-st-petersburg-akademiya-gos-sluzhby-hotel
Nevskiy Hostel - Bolshaya Konyushennaya 11 2*,https://tury.ru/hotel/id/80218-russia-st-petersburg-nevskiy-hostel
Alexander house hotel Saint Petersburg 4*,https://tury.ru/hotel/id/80722-russia-st-petersburg-alexander-house-hotel-saint-petersburg-4
Holiday Inn St. Petersburg-Moskovskye Vorota hotel 4*,https://tury.ru/hotel/id/81858-russia-st-petersburg-holiday-inn-st-petersburg-moskovskye-vorota-hotel-4
Kristoff Hotel 3*,https://tury.ru/hotel/id/81931-russia-st-petersburg-kristoff-hotel-3
Baltic Star Hotel 5*,https://tury.ru/hotel/id/81933-russia-strelna-the-baltic-star-hotel-5
Tsaritsyn Lug mini-hotel,https://tury.ru/hotel/id/81934-russia-st-petersburg-tsaritsyn-lug-mini-hotel
Guyot hotel 4*,https://tury.ru/hotel/id/81938-russia-st-petersburg-guyot-hotel-4
Yuzhno-Primorskii mini hotel 3*,https://tury.ru/hotel/id/81940-russia-st-petersburg-yuzhno-primorskii-mini-hotel
Aleksandriya Petergof hotel 3*,https://tury.ru/hotel/id/82352-russia-st-petersburg-aleksandriya-petergof-hotel
Pilau mini hotel,https://tury.ru/hotel/id/83034-russia-st-petersburg-pilau-malyy-otel-biznes-klassa
Manifest Hotel 3*,https://tury.ru/hotel/id/83155-russia-st-petersburg-manifest-manifest
Shelfort Hotel 3*,https://tury.ru/hotel/id/83716-russia-st-petersburg-shelfort-hotel-3
Pio na Mohovoj mini hotel,https://tury.ru/hotel/id/84756-russia-st-petersburg-pio-na-mohovoy-pio-na-mohovoj
Pio na Griboedova mini hotel 3*,https://tury.ru/hotel/id/84758-russia-st-petersburg-pio-na-griboedova-pio-na-griboedova
President-Hotel,https://tury.ru/hotel/id/85078-russia-st-petersburg-prezident-otel-president-hotel
Menshikov hotel St. Petersburg,https://tury.ru/hotel/id/85257-russia-st-petersburg-menshikov-menshikov
Repin hotel 3*,https://tury.ru/hotel/id/85305-russia-st-petersburg-repin-repin-3
Vesta hotel St. Petersburg 3*,https://tury.ru/hotel/id/85307-russia-st-petersburg-vesta-hotel-st-petersburg-3
Best Corner mini hotel 3*,https://tury.ru/hotel/id/85311-russia-st-petersburg-best-corner-mini-hotel
ALVinn mini hotel,https://tury.ru/hotel/id/85324-russia-st-petersburg-alvinn-mini-hotel
Doma.ru mini hotel 3*,https://tury.ru/hotel/id/85388-russia-st-petersburg-doma-ru-mini-hotel
Avgust mini hotel,https://tury.ru/hotel/id/85537-russia-st-petersburg-avgust-mini-hotel
Nordik Mini Hotel,https://tury.ru/hotel/id/85539-russia-st-petersburg-nordik-nordik
Rezidenciya u Admiraltejstva mini hotel 3*,https://tury.ru/hotel/id/85549-russia-st-petersburg-rezidenciya-u-admiralteystva-rezidenciya-u-admiraltejstva
Residence near Admiralteistva mini hotel 3*,https://tury.ru/hotel/id/85550-russia-st-petersburg-residence-near-admiralteistva-mini-hotel
Abazhur na Nevskom 23 mini hotel St. Petersburg 3*,https://tury.ru/hotel/id/85939-russia-st-petersburg-abazhur-na-nevskom-23-mini-hotel-st-petersburg
Oktaviana Mini Hotel,https://tury.ru/hotel/id/85942-russia-st-petersburg-oktaviana-oktaviana
Grifon mini hotel 3*,https://tury.ru/hotel/id/85945-russia-st-petersburg-grifon-mini-hotel
Dom Dostoevskogo mini hotel 3*,https://tury.ru/hotel/id/85951-russia-st-petersburg-dom-dostoevskogo-mini-hotel
Sabrina B and B mini hotel,https://tury.ru/hotel/id/85991-russia-st-petersburg-sabrina-b-and-b-sabrina-b-and-b
Sabrina Ekonom mini hotel,https://tury.ru/hotel/id/86005-russia-st-petersburg-sabrina-ekonom-sabrina-ekonom
Anabel Premium hotel,https://tury.ru/hotel/id/86008-russia-st-petersburg-anabel-premium-hotel
Anabel Prostor hotel,https://tury.ru/hotel/id/86009-russia-st-petersburg-anabel-prostor-hotel
Anabel Plaza hotel,https://tury.ru/hotel/id/86011-russia-st-petersburg-anabel-plaza-hotel
Anabel Komfort hotel,https://tury.ru/hotel/id/86018-russia-st-petersburg-anabel-komfort-hotel
Anabel na Nevskom 147 hotel,https://tury.ru/hotel/id/86020-russia-st-petersburg-anabel-na-nevskom-147-hotel
Primavera hotel 3*,https://tury.ru/hotel/id/86048-russia-st-petersburg-primavera-primavera-3
Dinastiya hotel 3*,https://tury.ru/hotel/id/86060-russia-st-petersburg-dinastiya-hotel
Evraziya hotel Saint-Petersburg,https://tury.ru/hotel/id/86066-russia-st-petersburg-evraziya-hotel-saint-petersburg
Regina hotel St. Peterburg 3*,https://tury.ru/hotel/id/86069-russia-st-petersburg-regina-regina
Amsterdam hotel St. Petersburg 3*,https://tury.ru/hotel/id/86080-russia-st-petersburg-amsterdam-hotel-st-petersburg-3
Admiral hotel St. Petersburg 3*,https://tury.ru/hotel/id/86098-russia-st-petersburg-admiral-hotel-st-petersburg-3
Staronevskij dom mini hotel,https://tury.ru/hotel/id/86100-russia-st-petersburg-staronevskiy-dom-staronevskij-dom
Matisov Domik Hotel 3*,https://tury.ru/hotel/id/86105-russia-st-petersburg-matisov-domik-hotel-3
Nikita Hotel St. Petersburg 3*,https://tury.ru/hotel/id/86123-russia-st-petersburg-nikita-nikita-3
Nevsky Dvor Hotel 3*,https://tury.ru/hotel/id/86133-russia-st-petersburg-nevskiy-dvor-nevskij-dvor
Anyuta na Ladozhskoi hotel 3*,https://tury.ru/hotel/id/86141-russia-st-petersburg-anyuta-na-ladozhskoi-hotel
Anyuta na Fontanke mini hotel,https://tury.ru/hotel/id/86149-russia-st-petersburg-anyuta-na-fontanke-mini-hotel
Baskov mini hotel 3*,https://tury.ru/hotel/id/86157-russia-st-petersburg-baskov-mini-hotel
Korall mini hotel St.Petersburg,https://tury.ru/hotel/id/86161-russia-st-petersburg-korall-mini-hotel-st-petersburg
33 udovolstviya private hotel 4*,https://tury.ru/hotel/id/86170-russia-st-petersburg-33-udovolstviya-private-hotel
Trezzini hotel 4*,https://tury.ru/hotel/id/86198-russia-st-petersburg-trezzini-hotel-4
Ozerki-Otel 3*,https://tury.ru/hotel/id/86201-russia-st-petersburg-ozerki-otel-ozerki-otel
Apaida privat hotel 2*,https://tury.ru/hotel/id/86206-russia-st-petersburg-apajda-privat-hotel
Krysha mini hotel 3*,https://tury.ru/hotel/id/86208-russia-st-petersburg-krysha-mini-hotel
Austrian yard mini hotel 3*,https://tury.ru/hotel/id/86209-russia-st-petersburg-avstrijskij-dvorik-mini-hotel
Elizar Hotel 3*,https://tury.ru/hotel/id/86267-russia-st-petersburg-elizar-hotel-3
Chehov mini hotel,https://tury.ru/hotel/id/86270-russia-st-petersburg-chehov-mini-hotel
Altburg on liteynyy mini hotel Saint Petersburg 3*,https://tury.ru/hotel/id/86316-russia-st-petersburg-altburg-on-liteynyy-mini-hotel-saint-petersburg
Altburg na Nevskom 53 mini hotel 4*,https://tury.ru/hotel/id/86335-russia-st-petersburg-altburg-na-nevskom-53-mini-hotel
Nemetskii Club mini hotel 3*,https://tury.ru/hotel/id/86363-russia-st-petersburg-nemeckiy-klub-nemetskij-klub
Asteri mini hotel,https://tury.ru/hotel/id/86378-russia-st-petersburg-asteri-mini-hotel
Severnaya Venetciya mini hotel,https://tury.ru/hotel/id/86383-russia-st-petersburg-severnaya-veneciya-severnaya-venetsiya
Kamerdiner mini hotel,https://tury.ru/hotel/id/86434-russia-st-petersburg-kamerdiner-mini-hotel
